pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbper,st_teff,st_rad,st_mass,sy_dist
OGLE-2016-BLG-1227L b,13.9,250.0,,,,,0.1,
Kepler-24 e,2.78,8.15,792.0,18.998355,5897.0,1.289,1.046,1156.81
Kepler-1065 b,3.73,13.4,1092.0,3.609308907,5635.0,0.93,0.94,1122.48
HD 132406 b,12.8,1887.90073758,,908.0,5766.0,1.34,0.973,70.7832
TOI-1260 c,2.76,13.2,651.0,7.493134,4227.0,0.672,0.679,73.5977
HD 149143 b,13.6,422.7139,,4.07182,5856.0,1.44,1.2,73.2801
HD 99492 b,5.44,25.5,,17.0503,4929.0,0.822539,0.85,18.2038
nu Oph c,12.0,7838.32346,,3180.6,4887.0,12.24,2.61,46.2107
75 Cet b,13.3,787.89662095,,696.62,4809.0,10.38,1.92,82.9613
gam Lib b,13.7,357.87478628,,414.88,4879.0,12.38,1.78,47.4017
HD 113337 b,13.1,1035.80277841,,317.58639,6667.33,1.530654,1.4,36.18
HD 28109 c,4.23,7.943,585.2,56.00819,6120.0,1.446,1.26,139.611
K2-350 b,1.54,2.99,1158.0,4.163873,5789.0,1.04,0.98,489.368
K2-342 b,2.03,4.78,861.0,11.561052,5920.0,1.09,1.01,208.357
EPIC 212587672 b,1.26,2.13,756.0,15.28078,6004.0,0.98,0.99,320.07
K2-332 b,2.2,5.48,266.0,17.70632,3315.0,0.28,0.27,123.202
K2-340 b,3.36,11.2,606.0,29.740451,5532.0,1.13,0.93,738.136
GJ 486 b,1.289,2.77,696.3,1.46712127,3317.0,0.3243,0.312,8.07426
TOI-6002 b,1.65,3.36,321.4,10.904821,3229.0,0.2432,0.2101,32.0266
HIP 12961 b,13.2,114.4188,,57.435,3901.0,0.65,0.69,23.371
HD 11755 b,12.8,1789.3829,,433.70001,4312.0,20.58,0.72,235.045
HD 29985 b,12.8,1739.47487151,,20608.14049,4678.0,0.574666,0.75,31.2707
HD 115954 b,12.6,2685.65003915,144.9,3700.0,5957.0,1.213,1.18,87.6437
HIP 97233 b,12.1,6098.17364511,,1062.26506,5020.0,5.34,1.81,102.275
HD 95872 b,13.0,1188.6842,,4375.0,5312.0,0.84,0.7,72.2195
OGLE-2015-BLG-0966L b,4.86,21.0,,,,,0.38,3300.0
